Country,Code,Continent region,Year,Environmental factor,Death rate
Czechia,CZE,Europe,2019,Secondhand smoke,22.39532528
Czechia,CZE,Europe,2019,Air pollution from solid fuels,0.749634319
Denmark,DNK,Europe,2019,Outdoor air pollution,25.36795575
Denmark,DNK,Europe,2019,Unsafe water source,0.171986141
Denmark,DNK,Europe,2019,Secondhand smoke,12.3486049
Denmark,DNK,Europe,2019,Air pollution from solid fuels,0.034397228
Djibouti,DJI,Africa,2019,Outdoor air pollution,42.83077932
Djibouti,DJI,Africa,2019,Unsafe water source,24.58114291
Djibouti,DJI,Africa,2019,Secondhand smoke,10.80080522
Djibouti,DJI,Africa,2019,Air pollution from solid fuels,18.71518835
Dominica,DMA,North America,2019,Outdoor air pollution,46.2003696
Dominica,DMA,North America,2019,Unsafe water source,1.4000112
Dominica,DMA,North America,2019,Secondhand smoke,11.2000896
Dominica,DMA,North America,2019,Air pollution from solid fuels,5.6000448
Dominican Republic,DOM,North America,2019,Outdoor air pollution,35.2144969
Dominican Republic,DOM,North America,2019,Unsafe water source,4.135314094
Dominican Republic,DOM,North America,2019,Secondhand smoke,9.180397288
Dominican Republic,DOM,North America,2019,Air pollution from solid fuels,8.629022075
Ecuador,ECU,South America,2019,Outdoor air pollution,24.76397824
Ecuador,ECU,South America,2019,Unsafe water source,1.591352269
Ecuador,ECU,South America,2019,Secondhand smoke,4.174416821
Ecuador,ECU,South America,2019,Air pollution from solid fuels,2.744506087
El Salvador,SLV,North America,2019,Outdoor air pollution,31.35241983
El Salvador,SLV,North America,2019,Unsafe water source,3.518986685
El Salvador,SLV,North America,2019,Secondhand smoke,5.955208236
El Salvador,SLV,North America,2019,Air pollution from solid fuels,9.840424304
Equatorial Guinea,GNQ,Africa,2019,Outdoor air pollution,25.94925665
Equatorial Guinea,GNQ,Africa,2019,Unsafe water source,6.245850856
Equatorial Guinea,GNQ,Africa,2019,Secondhand smoke,3.026340105
Equatorial Guinea,GNQ,Africa,2019,Air pollution from solid fuels,5.40877806
Eritrea,ERI,Africa,2019,Outdoor air pollution,40.69945907
Eritrea,ERI,Africa,2019,Unsafe water source,103.4920936
Eritrea,ERI,Africa,2019,Secondhand smoke,10.63216206
Eritrea,ERI,Africa,2019,Air pollution from solid fuels,112.4951341
Estonia,EST,Europe,2019,Outdoor air pollution,12.5857451
Estonia,EST,Europe,2019,Unsafe water source,0.075363743
Estonia,EST,Europe,2019,Secondhand smoke,15.37420359
Estonia,EST,Europe,2019,Air pollution from solid fuels,3.014549724
Eswatini,SWZ,Africa,2019,Outdoor air pollution,30.26642146
Eswatini,SWZ,Africa,2019,Unsafe water source,33.85735282
Eswatini,SWZ,Africa,2019,Secondhand smoke,7.438357816
Eswatini,SWZ,Africa,2019,Air pollution from solid fuels,41.21021227
Ethiopia,ETH,Africa,2019,Outdoor air pollution,8.462101065
Ethiopia,ETH,Africa,2019,Unsafe water source,37.83190964
Ethiopia,ETH,Africa,2019,Secondhand smoke,1.566763664
Ethiopia,ETH,Africa,2019,Air pollution from solid fuels,59.43449611
Fiji,FJI,Oceania,2019,Outdoor air pollution,36.03839014
Fiji,FJI,Oceania,2019,Unsafe water source,7.403657189
Fiji,FJI,Oceania,2019,Secondhand smoke,37.45379519
Fiji,FJI,Oceania,2019,Air pollution from solid fuels,32.8809481
Finland,FIN,Europe,2019,Outdoor air pollution,7.515929242
Finland,FIN,Europe,2019,Unsafe water source,0.018110673
Finland,FIN,Europe,2019,Secondhand smoke,7.280490495
Finland,FIN,Europe,2019,Air pollution from solid fuels,0.036221346
France,FRA,Europe,2019,Outdoor air pollution,21.33614262
France,FRA,Europe,2019,Unsafe water source,0.130587046
France,FRA,Europe,2019,Secondhand smoke,6.015907788
France,FRA,Europe,2019,Air pollution from solid fuels,0.054905917
Gabon,GAB,Africa,2019,Outdoor air pollution,36.91838495
Gabon,GAB,Africa,2019,Unsafe water source,8.560784917
Gabon,GAB,Africa,2019,Secondhand smoke,5.216728309
Gabon,GAB,Africa,2019,Air pollution from solid fuels,3.07653208
Georgia,GEO,Asia,2019,Outdoor air pollution,86.31346869
Georgia,GEO,Asia,2019,Unsafe water source,0.188163899
Georgia,GEO,Asia,2019,Secondhand smoke,42.41751903
Georgia,GEO,Asia,2019,Air pollution from solid fuels,42.84760794
Germany,DEU,Europe,2019,Outdoor air pollution,35.38326146
Germany,DEU,Europe,2019,Unsafe water source,0.127567964
Germany,DEU,Europe,2019,Secondhand smoke,9.702386106
Germany,DEU,Europe,2019,Air pollution from solid fuels,0.036104141
Ghana,GHA,Africa,2019,Outdoor air pollution,40.82507965
