Country,Code,Continent_Region,Year,Outdoor_air_pollution,Unsafe_water_source,Secondhand_smoke,Household_air_pollution_from_solid_fuels,Air_pollution,Total_Death_Rate,Population,Outdoor_air_pollution_per_100k_people,Unsafe_water_source_per_100k_people,Secondhand_smoke_per_100k_people,Household_air_pollution_from_solid_fuels_per_100k_people,Air_pollution_per_100k_people
Romania,ROU,Europe,2019,14723,38,6243,2434,17138,324945,19371648,76.0028264,0.19616297,32.22751105,12.56475443,88.46949934
Rwanda,RWA,Africa,2019,1900,3055,555,7468,9286,51184,12835028,14.80324001,23.8020517,4.324104318,58.18452441,72.34888775
Samoa,WSM,Oceania,2019,42,7,66,139,181,1861,211905,19.82020245,3.303367075,31.14603242,65.59543192,85.41563436
San Marino,SMR,Europe,2019,7,0,3,0,7,215,34178,20.48101118,0,8.777576219,0,20.48101118
Sao Tome and Principe,STP,Africa,2019,55,9,6,87,140,883,214599,25.62919678,4.193868564,2.795912376,40.54072945,65.23795544
Saudi Arabia,SAU,Asia,2019,18105,151,4037,37,18036,154143,35827362,50.53400248,0.421465583,11.26792422,0.103273024,50.34141224
Senegal,SEN,Africa,2019,3467,5348,1513,9075,12483,67119,16000781,21.66769235,33.42336852,9.455788439,56.71598155,78.0149419
Serbia,SRB,Europe,2019,10721,14,3480,1969,12668,168706,6945235,154.3648271,0.201577052,50.1062959,28.35037259,182.3984358
Seychelles,SYC,Africa,2019,35,4,19,0,36,740,97625,35.85147247,4.09731114,19.46222791,0,36.87580026
Sierra Leone,SLE,Africa,2019,1591,3250,832,7813,9371,41403,8046828,19.77176597,40.38858542,10.33947787,97.09415934,116.4558258
Singapore,SGP,Asia,2019,1378,5,296,2,1374,16423,5703569,24.16031085,0.087664408,5.189732955,0.035065763,24.09017932
Slovenia,SVN,Europe,2019,886,1,344,62,940,18849,2088385,42.42512755,0.047883891,16.47205855,2.968801251,45.01085767
Solomon Islands,SLB,Oceania,2019,109,183,272,1211,1320,8419,674993,16.14831561,27.11139227,40.29671419,179.4092679,195.5575836
Somalia,SOM,Africa,2019,851,14449,1339,27553,28334,109541,15981300,5.324973563,90.41191893,8.378542421,172.4077516,177.2947132
South Africa,ZAF,Africa,2019,25381,9506,7297,4590,29830,346018,58087055,43.69476125,16.36509202,12.5621793,7.901932711,51.35395485
South Sudan,SSD,Africa,2019,1441,5997,523,7678,9088,39825,10447666,13.79255424,57.40038014,5.005902754,73.49009817,86.98593542
Spain,ESP,Europe,2019,11774,52,5658,178,11785,319980,47134837,24.97940112,0.110321799,12.00386033,0.377640003,25.00273842
Sri Lanka,LKA,Asia,2019,7538,748,3027,6643,14114,147936,21803000,34.57322387,3.430720543,13.88341054,30.46828418,64.73421089
